"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"DIOSMO" 38 2 2 9 14 11 34 6 17 32 12 2 2 20 7 10 20 23 18 27 1 3 7 49 30 37 3 0 11 39 14 3 8 64 72 12 4 14 11 13 11 5 21 75 36 11 18 37 35 3 7 15 93 67 21 24 113 82 19 7 6 10 19 49 15 35 50 47 17 33 2 6 14 49 16 38 80 22 18 45 4 22 41 36 28 36 24 8 6 3 0 20 62 27 18 7 3 2 4 2
"PASAHR" 4 5 5 38 30 36 26 29 34 41 8 0 10 27 29 33 23 31 25 22 10 2 19 43 17 29 10 3 22 19 10 6 27 23 19 10 18 25 28 31 11 11 22 13 14 16 28 40 47 9 8 31 14 12 30 16 15 27 15 24 6 4 5 5 30 15 13 22 25 56 4 0 3 2 2 4 10 6 13 35 4 7 3 5 2 4 6 3 12 11 5 12 20 5 11 11 10 13 10 10
"CYCLLO" 10 1 4 6 11 3 14 4 7 5 2 0 8 10 4 5 17 30 10 8 0 0 7 34 26 32 3 2 7 20 0 1 2 26 39 19 2 7 12 15 0 0 14 42 17 10 10 22 26 7 0 11 38 17 18 2 12 22 2 5 1 3 10 2 0 6 8 23 4 20 0 0 0 0 0 4 4 15 10 21 0 1 0 0 1 3 2 2 4 2 1 2 6 4 1 1 1 2 3 6
"ANTIJA" 6 1 4 10 9 12 12 7 3 6 6 0 1 8 5 7 30 22 4 11 0 1 3 12 30 34 6 0 18 7 3 0 10 45 44 17 2 5 7 7 2 4 13 30 15 10 12 8 9 1 4 7 7 17 4 3 10 14 12 4 1 3 5 10 5 3 21 12 7 17 0 1 10 36 22 23 30 14 10 22 1 8 37 32 28 11 6 4 8 2 0 13 21 39 18 10 6 7 5 6
"RANDCO" 70 9 7 12 19 7 27 5 5 9 16 14 18 7 8 19 36 44 12 11 3 7 17 39 39 53 13 4 13 14 13 5 17 57 77 30 7 7 16 5 18 17 43 71 48 12 32 15 24 5 21 49 108 85 43 26 17 27 10 6 6 13 35 28 20 17 17 18 13 19 6 12 18 27 19 24 20 24 16 24 1 4 16 16 25 15 13 8 9 6 1 3 11 11 10 4 12 11 6 5
"DAPHGL" 12 1 0 1 10 3 19 4 7 9 2 0 0 5 3 2 30 25 5 5 1 0 2 33 7 22 5 0 8 7 1 1 4 35 32 10 0 2 2 11 2 0 36 38 24 5 1 4 8 1 1 8 53 34 10 1 5 9 2 2 0 2 11 8 2 1 7 11 2 12 1 0 3 9 3 6 8 2 2 4 1 3 1 9 12 1 0 4 1 1 0 10 7 9 4 2 2 0 1 0
"ILEXFO" 2 2 6 8 4 1 0 1 2 8 7 6 10 3 0 4 2 3 3 0 8 12 11 9 13 2 0 0 3 3 9 8 4 6 8 5 5 1 2 3 14 7 4 4 2 9 13 8 5 1 11 8 6 3 9 11 20 22 12 5 6 13 23 32 18 16 16 14 2 7 7 17 46 37 23 26 10 10 11 1 6 11 36 11 15 17 3 1 4 2 3 7 9 3 3 5 0 2 0 4
"SYMPTH" 38 14 15 41 37 53 58 23 46 56 14 5 28 45 28 59 48 72 33 32 11 5 37 59 75 47 20 8 40 40 24 13 30 47 35 33 21 23 35 48 17 29 40 54 50 20 30 46 75 14 16 27 64 49 26 8 57 61 32 37 12 17 34 37 16 22 55 69 39 69 10 12 30 67 33 47 48 56 38 105 8 35 40 29 44 38 32 23 27 17 1 26 47 64 21 34 17 20 26 19
"ENGERO" 26 26 17 89 79 106 139 59 122 150 27 0 42 59 80 136 108 135 61 124 20 11 51 96 145 161 36 23 74 77 58 5 69 89 107 58 38 72 98 155 44 8 95 66 63 33 61 49 222 74 41 24 43 55 54 39 103 159 88 183 16 48 83 115 71 29 102 189 110 184 11 17 52 184 78 143 164 126 115 174 4 86 90 88 117 141 89 84 67 35 6 148 376 161 243 89 52 42 65 37
"OSMAMA" 1 1 0 0 2 1 3 0 27 11 1 0 0 0 2 0 2 6 7 2 0 0 0 0 1 0 2 2 12 4 0 0 0 0 1 0 0 10 4 2 3 1 1 0 1 2 0 10 3 0 2 7 3 2 0 0 0 3 0 2 0 4 3 4 2 0 2 7 4 7 1 4 3 5 2 1 1 8 25 2 0 8 2 5 6 1 3 1 7 0 2 10 9 9 15 11 2 3 1 1
